Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
LightAir;Sverige;NGM;Industri;Installation & VVS;LAIR MTF
Fortnox;Sverige;NGM;Informationsteknik;Affärs- & IT-System;FNOX MTF
Mertiva;Sverige;NGM;Hälsovård;Biotech;MERT MTF A
MVV Holding;Sverige;NGM;Industri;Affärskonsulter;MVV MTF B
Exeotech Invest;Sverige;NGM;Finans & Fastighet;Investmentbolag;ETIN MTF
Zinzino;Sverige;First North;Dagligvaror;Hälsoprodukter;ZZ B
Lundin Gold;Sverige;Mid Cap;Material;Gruv - Guld & Silver;LUG
Eltel;Sverige;Mid Cap;Industri;Installation & VVS;ELTEL
Ahlstrom-Munksjö;Sverige;Large Cap;Material;Skogsbolag;AM1S
Byggmästare AJ Ahlström;Sverige;First North;Finans & Fastighet;Fastighetsbolag;AJA B
Intuitive Aerial;Sverige;First North;Sällanköpsvaror;Media & Publicering;INTU
Saltängen Property;Sverige;First North;Finans & Fastighet;Fastighetsbolag;SAPIAB
Verisec;Sverige;First North;Informationsteknik;Säkerhet & Bevakning;VERI
Dustin Group;Sverige;Mid Cap;Informationsteknik;Datorer & Hårdvara;DUST
Lexington;Sverige;First North;Sällanköpsvaror;Kläder & Skor;LEX
Karessa Pharma;Sverige;First North;Hälsovård;Biotech;KARE
OrganoClick;Sverige;First North;Material;Kemikalier;ORGC
Torslanda Property;Sverige;First North;Finans & Fastighet;Fastighetsbolag;TORSAB
Acrinova;Sverige;Spotlight;Finans & Fastighet;Fastighetsbolag;ACRI
Corem Pref;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;CORE PREF
Eniro pref;Sverige;Small Cap;Sällanköpsvaror;Marknadsföring;ENRO PREF
Fast Partner Pref;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;FPAR PREF
Klövern Pref;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;KLOV PREF
Amasten Pref;Sverige;First North;Finans & Fastighet;Fastighetsbolag;AMAST PREF
Sagax Pref;Sverige;Large Cap;Finans & Fastighet;Fastighetsbolag;SAGA PREF
